,CNR,Cortical Contrast,EFC,FBER,FWHM,FWHM_x,FWHM_y,FWHM_z,Participant,Qi1,SNR,Series,Session,Site,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
0,11.7376361241,0.3916666525,0.5026067256,249.3866178756,3.8459115572,3.5203711888,3.9085775465,4.1342001487,50002,0.1556505743,17.7564014872,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,94.7805709839,-130.659866333,-143.095703125,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          94.78057098],[  -0.            1.05078125   -0.         -130.65986633],[   0.            0.            1.05078125 -143.09570312],0,0
1,9.3071467169,0.3205829412,0.4786799032,194.6180045489,4.2462368139,3.9378568746,4.2623428996,4.5614822305,50003,0.1587960289,16.7158008357,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,92.6013946533,-143.462249756,-137.630996704,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          92.60139465],[  -0.            1.05078125   -0.         -143.46224976],[   0.            0.            1.05078125 -137.6309967 ],0,0
2,12.1887839262,0.3945931138,0.4730298862,264.1895377913,3.8370112096,3.6035997545,3.8563211896,4.0650801487,50004,0.162174789,18.773589966,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,93.3277893066,-133.44921875,-138.533966064,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          93.32778931],[  -0.            1.05078125   -0.         -133.44921875],[   0.            0.            1.05078125 -138.53396606],0,0
3,12.4612905509,0.3810752627,0.4629146703,274.4576738389,3.6338738662,3.3687711991,3.6698313755,3.8814453532,50005,0.1155895798,19.4300416419,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,91.8750076294,-133.44921875,-139.188613892,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          91.87500763],[  -0.            1.05078125   -0.         -133.44921875],[   0.            0.            1.05078125 -139.18861389],0,0
4,13.1485533783,0.3893785219,0.4227490266,469.4240439841,3.6338929044,3.448552146,3.6741710037,3.7872107063,50006,0.1228787383,22.2434971845,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,91.1486129761,-133.44921875,-162.161682129,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          91.14861298],[  -0.            1.05078125   -0.         -133.44921875],[   0.            0.            1.05078125 -162.16168213],0,0
5,9.4432486559,0.3565111957,0.4976298517,206.173321752,4.0941313026,3.8330283103,4.115813829,4.3499824535,50007,0.2274612449,15.7675942262,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,90.4222183228,-139.850997925,-144.549926758,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          90.42221832],[  -0.            1.05078125   -0.         -139.85099792],[   0.            0.            1.05078125 -144.54992676],0,0
6,12.1165828402,0.3923378499,0.4710949944,273.5004058046,3.7543569663,3.4348092898,3.8810551673,3.9696559108,50008,0.0959245739,18.4945178909,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,89.8861618042,-133.44921875,-138.421310425,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          89.8861618 ],[  -0.            1.05078125   -0.         -133.44921875],[   0.            0.            1.05078125 -138.42131042],0,0
7,11.0071082358,0.4003764824,0.5061345194,223.2073550664,3.5209965176,3.2427902553,3.5558971004,3.7855643123,50009,0.184684577,17.4454556362,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,91.1486129761,-133.44921875,-135.62840271,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          91.14861298],[  -0.            1.05078125   -0.         -133.44921875],[   0.            0.            1.05078125 -135.62840271],0,0
8,13.1232978218,0.3815856616,0.407492601,371.6116038371,3.7697588511,3.5750473755,3.776980223,3.9674575465,50010,0.0775022126,20.0508989051,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,96.2333526611,-135.008132935,-152.547668457,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          96.23335266],[  -0.            1.05078125   -0.         -135.00813293],[   0.            0.            1.05078125 -152.54766846],0,0
9,11.4280437478,0.413208803,0.5134500944,204.3231972187,3.6974804139,3.4292950045,3.6920719703,3.9925055762,50011,0.1347337186,16.3688147701,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,89.8202362061,-133.44921875,-133.44921875,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          89.82023621],[  -0.            1.05078125   -0.         -133.44921875],[   0.            0.            1.05078125 -133.44921875],0,0
10,8.9957534365,0.3500737901,0.4376514259,196.9005303553,3.8908130965,3.640552133,3.9320838662,4.1146242379,50012,0.1484017018,15.7601212475,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,87.5166473389,-132.532531738,-127.222702026,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          87.51664734],[  -0.            1.05078125   -0.         -132.53253174],[   0.            0.            1.05078125 -127.22270203],0,0
11,9.1743572953,0.3499265497,0.4306700941,219.4857781042,3.4944287423,3.2313997799,3.4882426766,3.7855643123,50013,0.1854356786,16.3854572694,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,92.6013946533,-142.802703857,-143.476043701,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          92.60139465],[  -0.            1.05078125   -0.         -142.80270386],[   0.            0.            1.05078125 -143.4760437 ],0,0
12,12.4364437458,0.3952133235,0.4340671741,274.5585237319,3.9266715019,3.7516664111,3.8713671375,4.1685650558,50014,0.1622818368,19.1909186706,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,94.7805709839,-137.976852417,-139.835159302,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          94.78057098],[  -0.            1.05078125   -0.         -137.97685242],[   0.            0.            1.05078125 -139.8351593 ],0,0
13,8.9489944891,0.3716148186,0.4744625991,164.796505778,3.6417556713,3.3634854852,3.5626159108,4.0306295911,50015,0.2492624933,14.2192413817,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,88.9694290161,-133.44921875,-132.722824097,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          88.96942902],[  -0.            1.05078125   -0.         -133.44921875],[   0.            0.            1.05078125 -132.7228241 ],0,0
14,10.4355154243,0.3674519792,0.5007415536,219.0011866857,4.0298203423,3.7297045078,4.0547449814,4.3273136059,50016,0.1580563615,16.8443463519,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,91.8750076294,-133.44921875,-133.44921875,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          91.87500763],[  -0.            1.05078125   -0.         -133.44921875],[   0.            0.            1.05078125 -133.44921875],0,0
15,8.5055806536,0.3489842894,0.5013193519,149.5649500521,4.1402893615,3.8518664043,4.247601487,4.3378771747,50017,0.2939953387,13.2830691803,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,95.5069656372,-133.44921875,-136.354782104,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          95.50696564],[  -0.            1.05078125   -0.         -133.44921875],[   0.            0.            1.05078125 -136.3547821 ],0,0
16,8.9183761939,0.3617895566,0.5470614874,172.9797700669,3.7096172515,3.3615902472,3.8447202974,3.9498135316,50019,0.2199023404,14.7331743853,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,95.5069656372,-136.359207153,-125.28326416,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          95.50696564],[  -0.            1.05078125   -0.         -136.35920715],[   0.            0.            1.05078125 -125.28326416],0,0
17,9.9731456804,0.3547866531,0.4745832052,205.9919050566,3.8920410589,3.7019235574,3.9290480297,4.0533840892,50020,0.1674526017,16.4678194123,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,88.9694290161,-132.587173462,-137.623809814,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          88.96942902],[  -0.            1.05078125   -0.         -132.58717346],[   0.            0.            1.05078125 -137.62380981],0,0
18,10.8908654814,0.3741402841,0.489652458,242.7705370444,3.8326514672,3.5462664251,3.9299235688,4.0396514498,50022,0.1415291011,17.442014652,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,94.7805709839,-133.44921875,-145.071502686,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          94.78057098],[  -0.            1.05078125   -0.         -133.44921875],[   0.            0.            1.05078125 -145.07150269],0,0
19,10.904627253,0.3522708984,0.4524088619,274.8481776373,3.800267529,3.5376188066,3.7956615613,4.0873588104,50023,0.1696576092,19.2154352696,anat_1,session_1,Pitt,,16,,,,1,,1.05,1.05078,1.05078,1,91.8750076294,-133.44921875,-139.986755371,0,1,0,,,1,0,0,0,0,[ -1.05000007  -0.          -0.          91.87500763],[  -0.            1.05078125   -0.         -133.44921875],[   0.            0.            1.05078125 -139.98675537],0,0
