,EFC,FBER,FWHM,FWHM_x,FWHM_y,FWHM_z,Ghost_y,Participant,SNR,Series,Session,Site,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
1,0.6130960682,20.5917791266,1.8724222498,1.8708704,2.1518176,1.630655,0.0547888428,50002,8.2166285811,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-87.2985687256,-25.390953064,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -87.29856873],[  0.           0.           4.         -25.39095306],0,0
2,0.5783131207,22.1246667107,2.0129695235,1.9674016,2.2715232,1.82516,0.0415009856,50003,8.8730541904,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-100.602890015,-18.4302520752,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -100.60289001],[  0.           0.           4.         -18.43025208],0,0
3,0.579523984,26.904393723,1.8669140172,1.8407616,2.1211648,1.6664850993,0.0463140346,50004,9.1326253197,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-104.417892456,-30.6801433563,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -104.41789246],[  0.           0.           3.99999976 -30.68014336],0,0
4,0.5561542138,26.4841681303,1.913872159,1.8790784,2.2414752,1.6644075992,0.027943857,50005,9.6369453848,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-99.5891876221,-50.2311515808,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -99.58918762],[  0.           0.           3.99999976 -50.23115158],0,0
5,0.5628428785,31.7511909177,2.1989305897,2.15784,2.4985856,1.972065,0.0544089675,50006,9.8898890716,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-96.3078994751,-61.8646697998,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -96.30789948],[  0.          0.          4.        -61.8646698],0,0
6,0.6081622278,32.657471347,1.8318538241,1.7525536,2.1850337667,1.6052500957,0.0555529594,50007,9.3066188231,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-101.409820557,-23.9070091248,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12499976   -0.         -101.40982056],[  0.           0.           3.99999976 -23.90700912],0,0
7,0.5712466599,24.4648742628,1.9116498168,1.8616256,2.1750336,1.7253075,0.0549953133,50008,8.9923671934,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-101.821128845,-27.0652637482,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -101.82112885],[  0.           0.           4.         -27.06526375],0,0
8,0.5967557794,29.4300984834,2.0145110638,2.0224544,2.3696832,1.7058451017,0.0515824929,50009,9.2301259214,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-100.90020752,-22.9934692383,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -100.90020752],[  0.           0.           3.99999976 -22.99346924],0,0
9,0.4914399558,21.9790313587,2.018448415,1.9517088,2.3696574192,1.778085,0.0366786942,50010,10.3391706841,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-92.3085021973,-54.3801765442,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.12500024  -0.         -92.3085022 ],[  0.           0.           4.         -54.38017654],0,0
10,0.5940178487,36.6804797295,2.0226837197,1.9860832,2.3355041782,1.7840425,0.0502669886,50011,10.2335878383,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-107.826278687,6.8823318481,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12499976   -0.         -107.82627869],[ 0.          0.          4.          6.88233185],0,0
11,0.5605992593,28.1809955691,2.1130639045,2.0840896,2.4746010241,1.8294346649,0.049890101,50012,9.5076073973,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4.00001,1,100,-115.291992188,-12.829750061,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12500477   -0.         -115.29199219],[  0.           0.           4.0000062  -12.82975006],0,0
12,0.5340596269,38.0241487,1.9166689412,1.8859552,2.1598752,1.728545,0.033845406,50013,11.2944263138,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-105.855278015,-16.7006454468,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -105.85527802],[  0.           0.           4.         -16.70064545],0,0
13,0.5583594593,29.2267686591,1.8919780418,1.868368,2.1278271532,1.70352736,0.0376369804,50014,9.7745460684,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4.00001,1,100,-112.610717773,-52.2457237244,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12500477   -0.         -112.61071777],[  0.           0.           4.0000062  -52.24572372],0,0
14,0.5680707961,29.5766986321,2.0041249007,1.9944896,2.2293504,1.810355,0.0450001769,50015,9.7039275211,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-116.031837463,-25.6689224243,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -116.03183746],[  0.           0.           4.         -25.66892242],0,0
15,0.6125745374,25.8446366597,1.8783785919,1.8145504,2.1660256,1.68623,0.0577671006,50016,8.4718977792,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-92.9155578613,-19.8988685608,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -92.91555786],[  0.           0.           4.         -19.89886856],0,0
16,0.5731714682,29.0944377497,1.9050098523,1.8121504,2.1971201676,1.7363726035,0.0516234078,50017,9.7860638978,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-101.730247498,-4.9008483887,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12499976   -0.         -101.7302475 ],[ 0.          0.          3.99999976 -4.90084839],0,0
17,0.6177050355,27.325099404,1.9240546875,1.9597024,2.3015072,1.57924,0.0652115941,50019,8.7875989925,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-87.2210540771,-7.5950775147,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -87.22105408],[ 0.          0.          4.         -7.59507751],0,0
18,0.5805551637,20.4501384136,1.8914937439,1.8574944,2.1623136,1.6848825,0.0677017421,50020,8.2931379692,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-95.1340789795,-9.986656189,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -95.13407898],[ 0.          0.          4.         -9.98665619],0,0
19,0.5809789113,26.2639225428,1.933748111,1.8521024,2.2671104,1.7221175,0.0571689308,50022,9.192497215,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-99.2451095581,-36.0226821899,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -99.24510956],[  0.           0.           4.         -36.02268219],0,0
20,0.5735282891,33.6484077403,2.0726920942,2.047376,2.3708734191,1.8344175,0.0414988212,50023,9.9150723728,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-95.0648727417,-25.2903518677,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.12500024  -0.         -95.06487274],[  0.           0.           4.         -25.29035187],0,0
21,0.5644530587,26.6481668248,1.9241165792,1.8774048,2.2114496,1.7157725,0.0589166097,50024,9.3709647646,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-97.5072555542,-34.3161010742,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -97.50725555],[  0.           0.           4.         -34.31610107],0,0
22,0.5390833697,21.3176617155,2.0672811341,1.9997568,2.3182528,1.9057276136,0.0505296625,50025,9.0733347094,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-107.230728149,-68.8644485474,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -107.23072815],[  0.           0.           3.99999976 -68.86444855],0,0
23,0.5882811915,31.7197462467,1.9594773867,1.8903872,2.2446368,1.773065,0.0566470027,50026,9.5695062345,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.125,4,1,100,-102.612983704,-7.6787719727,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.           3.125       -0.        -102.6129837],[ 0.          0.          4.         -7.67877197],0,0
24,0.5146222222,28.1703247462,2.0224061802,2.0063232,2.2605735955,1.8238349877,0.0335505083,50027,10.7015883119,rest_1,session_1,Pitt,,32,,,,1,,3.125,3.12517,4.00022,1,100,-109.567626953,-68.4907531738,0,1,0,,,1,0,0,0,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12517142   -0.         -109.56762695],[  0.           0.           4.00021935 -68.49075317],0,0
