,Fraction of Outliers (Mean),Fraction of Outliers (Median),Fraction of Outliers (Std Dev),Fraction of Outliers IQR,Fraction of Outliers percent outliers,GCOR,Participant,Quality (Mean),Quality (Median),Quality (Std Dev),Quality IQR,Quality percent outliers,RMSD (Mean),RMSD (Median),RMSD (Std Dev),RMSD IQR,RMSD percent outliers,Series,Session,Site,Std. DVARS (Mean),Std. DVARS (Median),Std. DVARS (Std Dev),Std. DVARS percent outliers,Std. DVARs IQR,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
0,0.00125565,0.00076,0.0013114151,0.0005625,0.13,0.0108343554,50002,0.0331687665,0.03274195,0.0014071629,0.00170705,0.045,0.1023166916,0.1010278678,0.0413816554,0.0518617303,0.005,rest_1,session_1,Pitt,1.0400325681,1.0278504583,0.0726173887,0.0452261307,0.0800481225,,16,,,,1,,3.125,3.125,4,1,100,-87.2985687256,-25.390953064,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -87.29856873],[  0.           0.           4.         -25.39095306],0,1.5
1,0.00166625,0.00109,0.0017113774,0.0012875,0.055,0.0114875459,50003,0.0619734185,0.0621062,0.0024493396,0.00415335,0,0.2539860615,0.2234212962,0.1579923573,0.231168337,0.005,rest_1,session_1,Pitt,0.966883527,0.9472626784,0.2050734274,0.0100502513,0.280199468,,16,,,,1,,3.125,3.125,4,1,100,-100.602890015,-18.4302520752,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -100.60289001],[  0.           0.           4.         -18.43025208],0,1.5
2,0.01131985,0.00071,0.0252908341,0.00044,0.22,0.0223508677,50004,0.056275593,0.05437045,0.0047429197,0.001909175,0.16,0.1220050321,0.0671665763,0.1477938421,0.0516394442,0.155,rest_1,session_1,Pitt,1.2599500437,1.1703291598,0.305063736,0.1457286432,0.1095352303,,16,,,,1,,3.125,3.125,4,1,100,-104.417892456,-30.6801433563,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -104.41789246],[  0.           0.           3.99999976 -30.68014336],0,1.5
3,0.0020557,0.00087,0.0031656572,0.0007625,0.165,0.0186243497,50005,0.0606975705,0.0600922,0.0025468744,0.0035272,0.015,0.1256017027,0.1025526022,0.104925237,0.0550229318,0.085,rest_1,session_1,Pitt,1.0939629079,1.0324567232,0.2408085185,0.0854271357,0.0990632985,,16,,,,1,,3.125,3.125,4,1,100,-99.5891876221,-50.2311515808,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -99.58918762],[  0.           0.           3.99999976 -50.23115158],0,1.5
4,0.00239735,0.001,0.0048190041,0.0005325,0.14,0.0169115102,50006,0.064091659,0.06361065,0.0014871487,0.00179435,0.055,0.0749912323,0.0663133719,0.0416213643,0.0397384027,0.055,rest_1,session_1,Pitt,1.1056363548,1.0853647458,0.1037427417,0.0804020101,0.0922636228,,16,,,,1,,3.125,3.125,4,1,100,-96.3078994751,-61.8646697998,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.125       -0.         -96.30789948],[  0.          0.          4.        -61.8646698],0,1.5
5,0.0020169,0.00083,0.0054558894,0.0008,0.14,0.0371886193,50007,0.0530361225,0.0529768,0.0015623326,0.001942425,0.015,0.145829455,0.1061359985,0.1540555261,0.098394009,0.07,rest_1,session_1,Pitt,1.0474811082,0.9593754792,0.3019178414,0.0753768844,0.1798588842,,16,,,,1,,3.125,3.125,4,1,100,-101.409820557,-23.9070091248,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12499976   -0.         -101.40982056],[  0.           0.           3.99999976 -23.90700912],0,1.5
6,0.00179285,0.00083,0.0026958205,0.00054,0.17,0.024177469,50008,0.0611029545,0.06105045,0.0026349669,0.00390075,0.01,0.1681225859,0.1166780594,0.1394020951,0.1158891593,0.11,rest_1,session_1,Pitt,1.0111432985,0.9584225179,0.1711602264,0.0753768844,0.175959362,,16,,,,1,,3.125,3.125,4,1,100,-101.821128845,-27.0652637482,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -101.82112885],[  0.           0.           4.         -27.06526375],0,1.5
7,0.0027239,0.00079,0.0113983457,0.000275,0.14,0.0121967036,50009,0.0446862615,0.0442297,0.0019954305,0.00079955,0.085,0.1699448721,0.1572739562,0.1072855068,0.1080094922,0.04,rest_1,session_1,Pitt,1.1929023307,1.1477350298,0.2102935306,0.0552763819,0.109515346,,16,,,,1,,3.125,3.125,4,1,100,-100.90020752,-22.9934692383,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.125        -0.         -100.90020752],[  0.           0.           3.99999976 -22.99346924],0,1.5
8,0.0015652,0.000865,0.00267238,0.000215,0.12,0.0090336006,50010,0.106205205,0.105963,0.0013892716,0.00130625,0.065,0.1133401579,0.1062952768,0.0531659279,0.0438827013,0.045,rest_1,session_1,Pitt,1.1148130258,1.0932710398,0.1223000194,0.0301507538,0.1256714933,,16,,,,1,,3.125,3.125,4,1,100,-92.3085021973,-54.3801765442,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[ -0.           3.12500024  -0.         -92.3085022 ],[  0.           0.           4.         -54.38017654],0,1.5
9,0.00145015,0.000765,0.0023449131,0.0003,0.14,0.0057903245,50011,0.0537266875,0.05348145,0.0010256852,0.000902125,0.085,0.0707198486,0.0652455889,0.0472083535,0.0436635028,0.04,rest_1,session_1,Pitt,1.0941457734,1.0661561003,0.1190530597,0.0552763819,0.1004342338,,16,,,,1,,3.125,3.125,4,1,100,-107.826278687,6.8823318481,0,1,0,,,1,0,0,28,0,[  -3.125   -0.      -0.     100.   ],[  -0.            3.12499976   -0.         -107.82627869],[ 0.          0.          4.          6.88233185],0,1.5
