,CNR,Cortical Contrast,EFC,FBER,FWHM,FWHM_x,FWHM_y,FWHM_z,Participant,Qi1,SNR,Series,Session,Site,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
33,8.117608094,0.3442165957,0.5126949998,284.4838336298,2.9114,2.70503,2.86477,3.18451,3001,0.3144192204,18.0350540007,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,104.877609253,-90.1977996826,-116.142539978,0,1,0,,,1,0,0,0,0,[  -1.           -0.           -0.          104.87760925],[ -0.           1.          -0.         -90.19779968],[   0.            0.            1.         -116.14253998],0,0
279,8.6577044555,0.3367501073,0.4739432103,319.6097127309,3.18961,2.85651,3.1414,3.61621,3002,0.2987634202,19.4718797455,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,103.95716095,-93.3697967529,-120.921669006,0,1,0,,,1,0,0,0,0,[  -1.           -0.           -0.          103.95716095],[ -0.           1.          -0.         -93.36979675],[   0.            0.            1.         -120.92166901],0,0
172,10.9124989485,0.3357989971,0.4429781221,354.8745118079,2.84516,2.733960163,2.88464,2.92035,3004,0.2717415935,24.8900187624,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,91.5481567383,-112.525878906,-105.566520691,0,1,0,,,1,0,0,0,0,[ -0.99999994  -0.          -0.          91.54815674],[  -0.            1.           -0.         -112.52587891],[   0.            0.            1.         -105.56652069],0,0
310,11.7500333768,0.3368971319,0.4064625572,319.758203342,2.73641,2.59892,2.71561,2.90326,3006,0.2477874552,26.7829860446,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,93.9989395142,-109.296890259,-100.493980408,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          93.99893951],[  -0.            1.           -0.         -109.29689026],[   0.            0.            1.         -100.49398041],0,0
292,10.0114584564,0.333314455,0.4666225659,345.4371882078,3.07844,2.94115,3.17495,3.1242,3007,0.2435348822,21.6375126917,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,80.7843399048,-114.115783691,-114.349395752,0,1,0,,,1,0,0,0,0,[ -1.         -0.         -0.         80.7843399],[  -0.            1.           -0.         -114.11578369],[   0.            0.            1.         -114.34939575],0,0
286,11.401582494,0.3414483045,0.4037162666,485.1955101675,2.87131,2.74204,2.93495,2.94148,3008,0.2694911929,25.3441001932,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,72.0946960449,-100.09236145,-120.373497009,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          72.09469604],[  -0.            1.           -0.         -100.09236145],[   0.            0.            1.         -120.37349701],0,0
306,7.5944678273,0.3310953712,0.5053204226,316.357988976,3.02899,2.84755,2.98488,3.2696,3009,0.3020256777,18.1503231262,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,89.9847412109,-87.4223022461,-110.132530212,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          89.98474121],[ -0.           1.          -0.         -87.42230225],[   0.            0.            1.         -110.13253021],0,0
300,8.6222379492,0.3426508481,0.4601984815,320.3974964942,3.16774,3.01376,3.19063,3.30571,3010,0.3245389631,21.1293209796,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,85.6927719116,-92.6626434326,-118.566261292,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          85.69277191],[ -0.           1.          -0.         -92.66264343],[   0.            0.            1.         -118.56626129],0,0
105,9.5501621414,0.396847782,0.459016351,274.398763966,3.11259,2.90046,3.0207,3.44184,3011,0.3138404972,18.3488066642,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,121.69682312,-95.2370605469,-128.204818726,0,1,0,,,1,0,0,0,0,[  -1.           -0.           -0.          121.69682312],[ -0.           1.          -0.         -95.23706055],[   0.            0.            1.         -128.20481873],0,0
81,9.4728747843,0.3309439229,0.4582527739,378.5594856046,2.90265,2.68027,3.0008901789,3.04057,3012,0.2434424534,22.1599112778,anat_1,session_1,BMB_1,,16,,,,1,,1,1,1,1,93.6149902344,-98.3097076416,-96.6581802368,0,1,0,,,1,0,0,0,0,[ -1.          -0.          -0.          93.61499023],[ -0.           0.99999994  -0.         -98.30970764],[  0.           0.           1.         -96.65818024],0,0
