,Fraction of Outliers (Mean),Fraction of Outliers (Median),Fraction of Outliers (Std Dev),Fraction of Outliers IQR,Fraction of Outliers percent outliers,GCOR,Participant,Quality (Mean),Quality (Median),Quality (Std Dev),Quality IQR,Quality percent outliers,RMSD (Mean),RMSD (Median),RMSD (Std Dev),RMSD IQR,RMSD percent outliers,Series,Session,Site,Std. DVARS (Mean),Std. DVARS (Median),Std. DVARS (Std Dev),Std. DVARS percent outliers,Std. DVARs IQR,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
0,0.0017825,0.00085,0.0034640662,0.00122,0.1,0.0257537356,3001,0.016676585,0.0165603,0.0005863702,0.000647575,0.03,0.0253576132,0.0188743531,0.0281174407,0.013656798,0.07,rest_2,session_1,BMB_1,1.3774458469,1.3436041926,0.1755174077,0.0251256281,0.2139441772,,16,,,,1,,3,3,4,1,97.2824172974,-63.8595657349,-29.3872928619,0,1,0,,,1,0,0,33,0,[ -3.         -0.         -0.         97.2824173],[ -0.           3.00000024  -0.         -63.85956573],[  0.           0.           4.         -29.38729286],0,2.3
1,0.0013059,0.000795,0.0013391711,0.000675,0.155,0.0173588592,3001,0.0172259305,0.0171067,0.000662764,0.0007228,0.05,0.0191949627,0.0175135043,0.0112254812,0.0113241629,0.035,rest_1,session_1,BMB_1,1.3083322621,1.2970232665,0.1337759804,0.0351758794,0.1641012881,,16,,,,1,,3,3,4,1,97.2824172974,-63.8595657349,-29.3872928619,0,1,0,,,1,0,0,33,0,[ -3.         -0.         -0.         97.2824173],[ -0.           3.00000024  -0.         -63.85956573],[  0.           0.           4.         -29.38729286],0,2.3
2,0.00112715,0.000615,0.0011900838,0.000665,0.19,0.0129586171,3002,0.0202948095,0.02013675,0.0007992417,0.001199075,0,0.0373191272,0.0329872175,0.0208958902,0.0249960529,0.04,rest_2,session_1,BMB_1,1.2661803255,1.2617752307,0.0816786295,0.040201005,0.0980671901,,16,,,,1,,3,3,4,1,97.2824172974,-73.6164321899,-23.9251480103,0,1,0,,,1,0,0,33,0,[ -3.         -0.         -0.         97.2824173],[ -0.           3.          -0.         -73.61643219],[  0.           0.           3.99999976 -23.92514801],0,2.3
3,0.00109725,0.00048,0.0018716826,0.00029,0.165,0.0084641824,3002,0.0204557875,0.0202566,0.0007783361,0.0010063,0.015,0.0438218475,0.0380608289,0.0255491539,0.0367410972,0.01,rest_1,session_1,BMB_1,1.2311480854,1.2377992515,0.104608117,0.0251256281,0.1214819943,,16,,,,1,,3,3,4,1,97.2824172974,-73.6164321899,-23.9251480103,0,1,0,,,1,0,0,33,0,[ -3.         -0.         -0.         97.2824173],[ -0.           3.          -0.         -73.61643219],[  0.           0.           3.99999976 -23.92514801],0,2.3
4,0.0011053,0.000865,0.0008031892,0.0009175,0.06,0.0118796528,3004,0.020411334,0.02027625,0.0010224567,0.001691325,0,0.0921644909,0.0939117218,0.0347692696,0.0552491828,0,rest_1,session_1,BMB_1,1.1184662241,1.1162963097,0.0984946468,0,0.1316896343,,16,,,,1,,3,3,4,1,95.2468261719,-77.0019989014,-31.2549171448,0,1,0,,,1,0,0,33,0,[ -3.          -0.          -0.          95.24682617],[ -0.           2.99999976  -0.         -77.0019989 ],[  0.           0.           3.99999976 -31.25491714],0,2.3
5,0.00171655,0.00079,0.0033505769,0.0008975,0.13,0.0081623075,3004,0.020526955,0.0199785,0.0014255608,0.001998725,0.005,0.0823197991,0.0813282972,0.0529397304,0.0505122325,0.025,rest_2,session_1,BMB_1,1.203400046,1.1886946364,0.1715744769,0.040201005,0.1463987019,,16,,,,1,,3,3,4,1,95.2468261719,-77.0019989014,-31.2549171448,0,1,0,,,1,0,0,33,0,[ -3.          -0.          -0.          95.24682617],[ -0.           2.99999976  -0.         -77.0019989 ],[  0.           0.           3.99999976 -31.25491714],0,2.3
6,0.00242405,0.00083,0.0035722506,0.00268,0.07,0.0299128029,3006,0.028366313,0.0281445,0.0007802162,0.000984475,0.035,0.0569335646,0.0430961055,0.0581160303,0.0417023825,0.06,rest_1,session_1,BMB_1,1.1871070679,1.1352286831,0.2395266578,0.040201005,0.2328436388,,16,,,,1,,3,3,4,1,96.0775985718,-93.9398117065,0.5494764447,0,1,0,,,1,0,0,33,0,[ -3.          -0.          -0.          96.07759857],[ -0.           3.          -0.         -93.93981171],[ 0.          0.          3.99999976  0.54947644],0,2.3
7,0.0020526,0.00086,0.0025853404,0.002175,0.05,0.0210756042,3006,0.0296079835,0.0295303,0.0007239239,0.0010263,0.01,0.0517736398,0.0427357534,0.0401050507,0.0282441418,0.09,rest_2,session_1,BMB_1,1.2195009468,1.1810619909,0.1577134904,0.0502512563,0.1522826535,,16,,,,1,,3,3,4,1,96.0775985718,-93.9398117065,0.5494764447,0,1,0,,,1,0,0,33,0,[ -3.          -0.          -0.          96.07759857],[ -0.           3.          -0.         -93.93981171],[ 0.          0.          3.99999976  0.54947644],0,2.3
8,0.00238745,0.000585,0.0049281219,0.0005825,0.19,0.0104477873,3007,0.018826597,0.01791025,0.0026723617,0.001751525,0.16,0.0419538283,0.034082291,0.0331921401,0.0246114283,0.055,rest_1,session_1,BMB_1,1.1121732961,1.0731313553,0.2226016064,0.0552763819,0.1927831625,,16,,,,1,,3,3,4,1,90.0535049438,-60.2928504944,-48.030708313,0,1,0,,,1,0,0,33,0,[ -3.          -0.          -0.          90.05350494],[ -0.           2.99999976  -0.         -60.29285049],[  0.           0.           3.99999976 -48.03070831],0,2.3
9,0.0015351,0.0006,0.0023753467,0.00076,0.17,0.0158882427,3007,0.0158483245,0.0156842,0.0005038625,0.000681125,0.01,0.0336276941,0.0319709642,0.0140740044,0.0206571232,0.005,rest_2,session_1,BMB_1,1.2561317862,1.2460544795,0.1515122686,0.0100502513,0.1787789337,,16,,,,1,,3,3,4,1,90.0535049438,-60.2928504944,-48.030708313,0,1,0,,,1,0,0,33,0,[ -3.          -0.          -0.          90.05350494],[ -0.           2.99999976  -0.         -60.29285049],[  0.           0.           3.99999976 -48.03070831],0,2.3
