,EFC,FBER,FWHM,FWHM_x,FWHM_y,FWHM_z,Ghost_y,Participant,SNR,Series,Session,Site,aux_file,bitpix,data_type,db_name,descrip,extensions,intent_name,pix_dimx,pix_dimy,pix_dimz,qform_code,qoffset_x,qoffset_y,qoffset_z,quatern_b,quatern_c,quatern_d,scl_inter,scl_slope,sform_code,slice_code,slice_duration,slice_end,slice_start,srow_x,srow_y,srow_z,toffset,tr
1,0.5868566136,18.8672996482,1.985952248,1.9176433333,2.2748631525,1.7954925,0.0711351037,3001,8.667358488,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.2824172974,-63.8595657349,-29.3872928619,0,1,0,,,1,0,0,0,0,[ -3.         -0.         -0.         97.2824173],[ -0.           3.00000024  -0.         -63.85956573],[  0.           0.           4.         -29.38729286],0,0
2,0.5858823715,18.7750711034,1.9892382077,1.91962,2.2776864857,1.8003275,0.0731012821,3001,8.6263219345,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.2824172974,-63.8595657349,-29.3872928619,0,1,0,,,1,0,0,0,0,[ -3.         -0.         -0.         97.2824173],[ -0.           3.00000024  -0.         -63.85956573],[  0.           0.           4.         -29.38729286],0,0
3,0.5527868057,23.4793493906,1.9185674995,1.84339,2.1227033333,1.8047851076,0.0615215935,3002,10.3493250722,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.2824172974,-73.6164321899,-23.9251480103,0,1,0,,,1,0,0,0,0,[ -3.         -0.         -0.         97.2824173],[ -0.           3.          -0.         -73.61643219],[  0.           0.           3.99999976 -23.92514801],0,0
4,0.5541328374,24.1851772513,1.9260479796,1.86393,2.13524,1.795245107,0.0600425377,3002,10.5754574196,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.2824172974,-73.6164321899,-23.9251480103,0,1,0,,,1,0,0,0,0,[ -3.         -0.         -0.         97.2824173],[ -0.           3.          -0.         -73.61643219],[  0.           0.           3.99999976 -23.92514801],0,0
5,0.5864669831,18.4130726793,1.8231747208,1.7882633333,2.0637834973,1.6420550979,0.0734872147,3004,8.488653273,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,95.2468261719,-77.0019989014,-31.2549171448,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          95.24682617],[ -0.           2.99999976  -0.         -77.0019989 ],[  0.           0.           3.99999976 -31.25491714],0,0
6,0.5857101475,18.2065551456,1.8272844421,1.7876566667,2.0680301644,1.6503525984,0.0730254203,3004,8.3447773341,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,95.2468261719,-77.0019989014,-31.2549171448,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          95.24682617],[ -0.           2.99999976  -0.         -77.0019989 ],[  0.           0.           3.99999976 -31.25491714],0,0
7,0.5396983336,27.7357293907,1.9573751402,1.9054,2.1716333333,1.812377608,0.0624317192,3006,11.0423744789,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,96.0775985718,-93.9398117065,0.5494764447,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          96.07759857],[ -0.           3.          -0.         -93.93981171],[ 0.          0.          3.99999976  0.54947644],0,0
8,0.5421032281,27.0601035193,1.9901226834,1.9344,2.20469,1.8481876102,0.0627845824,3006,10.8920399066,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,96.0775985718,-93.9398117065,0.5494764447,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          96.07759857],[ -0.           3.          -0.         -93.93981171],[ 0.          0.          3.99999976  0.54947644],0,0
9,0.6104147918,19.3044234642,1.8516217451,1.7897333333,2.1290668359,1.6660150993,0.0757117569,3007,7.9728744637,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,90.0535049438,-60.2928504944,-48.030708313,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          90.05350494],[ -0.           2.99999976  -0.         -60.29285049],[  0.           0.           3.99999976 -48.03070831],0,0
10,0.6085157984,20.2691029147,1.8486810381,1.7973766667,2.1244935022,1.6545975986,0.0729800984,3007,8.170230044,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,90.0535049438,-60.2928504944,-48.030708313,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          90.05350494],[ -0.           2.99999976  -0.         -60.29285049],[  0.           0.           3.99999976 -48.03070831],0,0
11,0.561400602,19.4566298457,1.9048542954,1.8990466667,2.0828633333,1.7473826042,0.0506651923,3008,9.4597952234,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,93.0655517578,-74.3834533691,-43.4917526245,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          93.06555176],[ -0.           3.          -0.         -74.38345337],[  0.           0.           3.99999976 -43.49175262],0,0
12,0.5635402008,19.0933546745,1.9162052426,1.91272,2.0896433333,1.7603626049,0.0542817228,3008,9.3191005296,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,93.0655517578,-74.3834533691,-43.4917526245,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          93.06555176],[ -0.           3.          -0.         -74.38345337],[  0.           0.           3.99999976 -43.49175262],0,0
13,0.6105751954,22.4920773413,1.9637197781,1.90911,2.19063,1.8106675,0.0832376555,3009,9.0716731062,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,95.7690582275,-73.3263320923,-14.2922992706,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          95.76905823],[ -0.           3.          -0.         -73.32633209],[  0.           0.           4.         -14.29229927],0,0
14,0.6087834692,22.5722709087,1.9642739998,1.9143533333,2.1885233333,1.808975,0.0792021751,3009,9.1283906007,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,95.7690582275,-73.3263320923,-14.2922992706,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          95.76905823],[ -0.           3.          -0.         -73.32633209],[  0.           0.           4.         -14.29229927],0,0
15,0.5574036574,14.6845715239,1.7215460654,1.7055633333,1.8956666667,1.578065,0.0615200512,3010,8.7664594097,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,95.3118743896,-80.8958511353,-18.8491783142,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          95.31187439],[ -0.           3.          -0.         -80.89585114],[  0.           0.           4.         -18.84917831],0,0
16,0.5583771262,14.761021329,1.7212825829,1.7064,1.8879033333,1.58305,0.0611751452,3010,8.7801800914,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,95.3118743896,-80.8958511353,-18.8491783142,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          95.31187439],[ -0.           3.          -0.         -80.89585114],[  0.           0.           4.         -18.84917831],0,0
17,0.5396416621,19.9788711414,2.0346874211,2.0499366667,2.2519664877,1.8246976088,0.0310683772,3011,10.4040050122,rest_2,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.8848266602,-75.3053512573,-53.4836807251,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          97.88482666],[ -0.           3.00000024  -0.         -75.30535126],[  0.           0.           3.99999976 -53.48368073],0,0
18,0.5397724595,19.918303248,2.0258198729,2.04966,2.2407898219,1.8101701079,0.0303606652,3011,10.3660798639,rest_1,session_1,BMB_1,,32,,,,1,,3,3,4,1,97.8848266602,-75.3053512573,-53.4836807251,0,1,0,,,1,0,0,0,0,[ -3.          -0.          -0.          97.88482666],[ -0.           3.00000024  -0.         -75.30535126],[  0.           0.           3.99999976 -53.48368073],0,0
